time_ms,ppg_red,ppg_ir,ax,ay,az,gx,gy,gz,motion_mag,ppg_ir_detrended,ppg_red_detrended,ppg_noise_score,slope_score,dynamic_motion,motion_score,signal_label,protocol_label
59727,1014,366,0.008545,0.013916,1.006958,-0.244141,0.0,-0.12207,1.00709,-256.67999999999995,167.88,0.0,0.0,0.0012946400000000136,0.0004928432000000083,NO_FINGER,NO_FINGER
59888,917,777,0.001953,0.013184,1.004883,-0.244141,0.061035,-0.061035,1.004971,155.48000000000002,71.84000000000003,0.0,0.0,0.0008096799999999238,0.0005219520000000077,NO_FINGER,NO_FINGER
60048,926,711,0.004272,0.016113,1.005615,-0.305176,0.0,-0.183105,1.005753,92.67999999999995,74.36000000000001,0.0,0.0,9.508000000013617e-05,0.0005251792000000143,NO_FINGER,NO_FINGER
60209,637,710,0.005249,0.016724,1.005493,-0.244141,0.0,-0.061035,1.005646,86.75999999999999,-213.39999999999998,0.0,0.0,0.0001205600000000473,0.0005256080000000196,NO_FINGER,NO_FINGER
60368,845,396,0.005005,0.012329,1.005005,-0.305176,0.0,-0.12207,1.005093,-224.15999999999997,-2.8799999999999955,0.0,0.0,0.0006597999999999882,0.0005370880000000167,NO_FINGER,NO_FINGER
60529,921,589,0.005737,0.015137,1.005615,-0.244141,0.061035,-0.12207,1.005746,-28.08000000000004,75.84000000000003,0.0,0.0,3.8399999999993994e-05,0.0005306464000000144,NO_FINGER,NO_FINGER
60690,1005,661,0.004272,0.015137,1.005615,-0.244141,0.061035,-0.12207,1.005738,46.440000000000055,159.64,0.0,0.0,3.488000000007041e-05,0.0005092368000000125,NO_FINGER,NO_FINGER
60849,718,785,0.002197,0.01355,1.006226,-0.305176,0.0,-0.12207,1.006319,170.08000000000004,-128.03999999999996,0.0,0.0,0.0005453199999998493,0.00048586720000000307,NO_FINGER,NO_FINGER
61010,722,509,0.008911,0.018433,1.005127,-0.244141,0.0,-0.061035,1.005335,-107.55999999999995,-126.96000000000004,0.0,0.0,0.00045143999999996964,0.0004927952000000069,NO_FINGER,NO_FINGER
61171,863,511,0.00354,0.017578,1.005859,-0.305176,0.061035,-0.12207,1.006019,-110.15999999999997,18.360000000000014,0.0,0.0,0.00021671999999983704,0.00045510720000000224,NO_FINGER,NO_FINGER
61331,1014,609,0.003906,0.014282,1.005615,-0.244141,0.0,-0.12207,1.005724,-8.440000000000055,170.55999999999995,0.0,0.0,0.00015447999999995687,0.0004585727999999989,NO_FINGER,NO_FINGER
61490,816,772,0.001953,0.015991,1.006836,-0.305176,-0.061035,-0.12207,1.006965,156.96000000000004,-29.24000000000001,0.0,0.0,0.0011107200000000095,0.0004993951999999968,NO_FINGER,NO_FINGER
61651,700,587,0.005859,0.021362,1.005493,-0.244141,0.0,-0.061035,1.005737,-26.879999999999995,-153.24,0.0,0.0,0.00013920000000000599,0.0004840399999999967,NO_FINGER,NO_FINGER
61812,869,499,0.001831,0.015625,1.004761,-0.305176,0.0,-0.12207,1.004884,-121.84000000000003,16.519999999999982,0.0,0.0,0.000935079999999866,0.0004973711999999874,NO_FINGER,NO_FINGER
61971,940,615,0.002563,0.010986,1.00647,-0.305176,0.0,-0.12207,1.006533,-6.7999999999999545,91.88,0.0,0.0,0.0006529599999998137,0.00048430879999997954,NO_FINGER,NO_FINGER
62133,869,667,0.008423,0.016846,1.004761,-0.244141,0.0,-0.12207,1.004937,51.24000000000001,23.440000000000055,0.0,0.0,0.0009289599999999787,0.00047574079999997745,NO_FINGER,NO_FINGER
62292,731,627,0.002563,0.015137,1.005737,-0.305176,0.0,-0.061035,1.005854,13.720000000000027,-114.72000000000003,0.0,0.0,3.1759999999936284e-05,0.0004624239999999791,NO_FINGER,NO_FINGER
62452,910,498,0.000488,0.017944,1.006592,-0.183105,0.0,-0.061035,1.006752,-114.51999999999998,56.24000000000001,0.0,0.0,0.000825520000000024,0.0004898255999999801,NO_FINGER,NO_FINGER
62613,793,685,0.004028,0.018188,1.005737,-0.305176,0.0,-0.061035,1.00591,62.27999999999997,-58.51999999999998,0.0,0.0,2.964000000016398e-05,0.0004761871999999823,NO_FINGER,NO_FINGER
