time_ms,ppg_red,ppg_ir,ax,ay,az,gx,gy,gz,motion_mag
74160,102594,118393,0.003296,0.015747,1.004639,-0.244141,-0.061035,-0.122070,1.004768
74320,102576,118385,0.003784,0.015259,1.006226,-0.305176,0.061035,-0.061035,1.006348
74479,102568,118455,0.004883,0.015869,1.005737,-0.244141,0.000000,-0.122070,1.005874
74641,102559,118493,0.004150,0.015747,1.006470,-0.305176,0.000000,-0.061035,1.006601
74801,102527,118517,0.002930,0.015015,1.005615,-0.244141,0.061035,-0.122070,1.005732
74960,102433,118164,0.004639,0.016235,1.004883,-0.305176,-0.061035,-0.122070,1.005025
75121,102365,118263,0.003174,0.014893,1.005737,-0.244141,0.000000,-0.122070,1.005853
75282,102319,118219,0.003784,0.016235,1.005737,-0.366211,0.061035,-0.122070,1.005875
75443,102330,118271,0.003662,0.015869,1.006714,-0.305176,0.061035,-0.122070,1.006846
75603,102318,118321,0.005005,0.015991,1.005859,-0.244141,0.000000,-0.061035,1.005999
75762,102322,118397,0.002808,0.015503,1.006714,-0.305176,0.000000,-0.061035,1.006837
75923,102245,118151,0.004761,0.015503,1.005005,-0.244141,0.000000,-0.122070,1.005136
76084,102197,118241,0.003296,0.015381,1.005737,-0.244141,0.122070,-0.061035,1.005860
76243,102163,118103,0.004028,0.015747,1.005249,-0.305176,0.000000,-0.061035,1.005380
76404,102130,118219,0.003906,0.016479,1.006104,-0.305176,0.000000,-0.122070,1.006246
76565,102113,118274,0.004395,0.016113,1.005127,-0.244141,0.000000,-0.183105,1.005266
76726,102122,118097,0.003662,0.015625,1.005615,-0.366211,0.061035,-0.122070,1.005743
76885,101953,117984,0.003906,0.015747,1.004883,-0.305176,0.000000,-0.122070,1.005014
77046,101955,118021,0.004028,0.015137,1.005371,-0.366211,0.061035,-0.061035,1.005493
77207,101936,118054,0.003540,0.015137,1.005615,-0.183105,-0.061035,-0.122070,1.005735
77367,101920,118119,0.004272,0.015747,1.005859,-0.244141,0.061035,-0.122070,1.005992
77528,101937,118145,0.004517,0.016602,1.005493,-0.244141,-0.061035,-0.122070,1.005640
77687,101911,117887,0.003906,0.016357,1.006958,-0.305176,0.000000,-0.122070,1.007098
77848,101742,117878,0.004395,0.015381,1.004883,-0.305176,0.061035,-0.122070,1.005010
78009,101739,117777,0.003662,0.014893,1.005615,-0.305176,0.000000,-0.122070,1.005732
78169,101671,117799,0.004150,0.015747,1.005859,-0.244141,-0.061035,-0.122070,1.005991
78330,101660,117759,0.004028,0.015747,1.005493,-0.244141,0.000000,-0.061035,1.005625
78489,101624,117776,0.004028,0.015991,1.005371,-0.305176,0.000000,-0.061035,1.005506
78650,101593,117635,0.003662,0.015015,1.005859,-0.305176,0.000000,-0.061035,1.005978
78811,101454,117497,0.003296,0.015625,1.005981,-0.244141,-0.061035,-0.061035,1.006108
78971,101467,117401,0.003906,0.016602,1.005737,-0.305176,0.000000,-0.061035,1.005882
79130,101391,117357,0.004517,0.015259,1.004639,-0.305176,-0.061035,-0.122070,1.004765
79291,101359,117368,0.004517,0.015503,1.005371,-0.244141,0.000000,-0.122070,1.005501
79452,101321,117403,0.003906,0.016113,1.005859,-0.244141,-0.061035,0.000000,1.005996
79613,101338,117095,0.003540,0.015869,1.006348,-0.427246,0.061035,-0.122070,1.006479
79772,101147,117061,0.004028,0.015625,1.005249,-0.244141,0.000000,-0.122070,1.005378
79932,101185,116977,0.003296,0.015747,1.005981,-0.305176,0.000000,-0.061035,1.006110
80093,101113,117024,0.004639,0.015747,1.006226,-0.244141,0.000000,-0.061035,1.006359
80253,101131,117047,0.003662,0.015259,1.006470,-0.366211,-0.061035,-0.122070,1.006592
80414,101118,117120,0.005249,0.015137,1.005615,-0.305176,-0.061035,-0.122070,1.005743
80575,101134,116725,0.004150,0.014771,1.005005,-0.244141,0.000000,-0.122070,1.005122
80734,100920,116667,0.003906,0.015137,1.005615,-0.305176,0.000000,-0.183105,1.005737
80895,100934,116564,0.004883,0.016724,1.004639,-0.244141,0.000000,-0.061035,1.004790
81056,100908,116666,0.003784,0.016113,1.004761,-0.305176,0.000000,0.000000,1.004897
81217,100961,116720,0.004028,0.014648,1.004761,-0.244141,0.000000,-0.122070,1.004876
81376,100981,116825,0.004395,0.015137,1.005737,-0.183105,0.000000,-0.122070,1.005861
81537,100997,116652,0.003540,0.015259,1.005493,-0.305176,0.061035,-0.061035,1.005615
81698,100794,116337,0.004761,0.016357,1.004883,-0.366211,0.000000,-0.061035,1.005027
81857,100809,116250,0.003418,0.015625,1.006348,-0.305176,0.000000,-0.122070,1.006475
82017,100746,116278,0.004883,0.016602,1.006348,-0.244141,0.000000,-0.061035,1.006496
82178,100813,116435,0.004028,0.015991,1.005859,-0.305176,-0.061035,-0.122070,1.005995
82339,100864,116565,0.003418,0.016357,1.005005,-0.244141,-0.061035,-0.061035,1.005144
82500,100922,116524,0.004150,0.015503,1.005127,-0.244141,0.000000,-0.061035,1.005255
82659,100751,116200,0.002930,0.015503,1.005859,-0.244141,0.000000,-0.122070,1.005983
82820,100811,116271,0.004883,0.015991,1.005493,-0.305176,0.000000,-0.122070,1.005632
82981,100763,116279,0.003906,0.016479,1.006104,-0.305176,0.000000,-0.061035,1.006246
83140,100832,116402,0.004272,0.015869,1.006958,-0.305176,0.000000,-0.061035,1.007092
83301,100843,116512,0.003662,0.015747,1.005615,-0.366211,-0.061035,-0.122070,1.005745
83462,100926,116131,0.003662,0.016846,1.005493,-0.305176,0.000000,-0.061035,1.005641
83621,100757,116160,0.003052,0.015259,1.006226,-0.305176,0.061035,-0.122070,1.006346
83782,100793,114311,0.004883,0.016113,1.005249,-0.427246,0.000000,-0.061035,1.005390
83943,100068,103228,0.003540,0.014648,1.003662,-0.305176,0.061035,-0.061035,1.003775
84104,97846,102890,0.005005,0.014160,1.004517,-0.244141,0.061035,-0.061035,1.004629
84263,94425,105639,0.003174,0.015381,1.004028,-0.427246,0.000000,-0.061035,1.004151
84424,95566,104665,0.005371,0.016724,1.005493,-0.122070,-0.061035,-0.122070,1.005647
84584,97182,103656,0.002686,0.014771,1.005737,-0.183105,-0.061035,-0.061035,1.005849
84745,96470,103965,0.004150,0.016113,1.005615,-0.366211,0.000000,-0.061035,1.005753
84904,95681,105058,0.004028,0.016479,1.005859,-0.183105,-0.061035,-0.122070,1.006002
85066,96287,103069,0.003662,0.016235,1.005615,-0.305176,-0.061035,-0.183105,1.005753
85225,95653,104232,0.004517,0.015137,1.006348,-0.305176,0.000000,-0.061035,1.006472
85386,98604,110593,0.004150,0.013428,1.005127,-0.244141,0.000000,0.122070,1.005225
85547,99715,108819,0.003296,0.016113,1.005859,-0.183105,0.000000,-0.122070,1.005994
85706,98251,108390,0.004028,0.016602,1.006348,-0.305176,-0.061035,-0.061035,1.006493
